code,name,province,city,area,town
130102,阜康街道,13,01,02,013000
130102,建安街道,13,01,02,014000
130102,胜利北街道,13,01,02,015000
130102,西兆通镇,13,01,02,100000
130102,南村镇,13,01,02,101000
130102,高营镇,13,01,02,102000
130102,桃园镇,13,01,02,103000
130104,东里街道,13,01,04,001000
130104,中山街道,13,01,04,002000
130104,南长街道,13,01,04,004000
130104,维明街道,13,01,04,005000
130104,友谊街道,13,01,04,007000
130104,红旗街道,13,01,04,008000
130104,新石街道,13,01,04,009000
130104,苑东街道,13,01,04,010000
130104,西里街道,13,01,04,011000
130104,振头街道,13,01,04,012000
130104,留营街道,13,01,04,013000
130104,长兴街道,13,01,04,014000
130104,彭后街道,13,01,04,015000
130104,东风街道,13,01,04,016000
130104,东华街道,13,01,04,017000
130104,休门街道,13,01,04,018000
130104,汇通街道,13,01,04,019000
130105,革新街街道,13,01,05,001000
130105,新华路街道,13,01,05,003000
130105,宁安街道,13,01,05,004000
130105,东焦街道,13,01,05,005000
130105,西苑街道,13,01,05,006000
130105,合作路街道,13,01,05,007000
130105,联盟街道,13,01,05,008000
130105,石岗街道,13,01,05,009000
130105,天苑街道,13,01,05,011000
130105,北苑街道,13,01,05,012000
130105,赵陵铺路街道,13,01,05,013000
130105,西三庄街道,13,01,05,014000
130105,大郭街道,13,01,05,015000
130105,杜北街道,13,01,05,016000
130105,赵佗路街道,13,01,05,017000
130107,矿市街道,13,01,07,001000
130107,四微街道,13,01,07,002000
130107,贾庄镇,13,01,07,100000
130107,凤山镇,13,01,07,101000
130107,横涧乡,13,01,07,200000
130108,裕兴街道,13,01,08,001000
130108,裕强街道,13,01,08,002000
130108,东苑街道,13,01,08,003000
130108,建通街道,13,01,08,004000
130108,槐底街道,13,01,08,005000
130108,裕华路街道,13,01,08,006000
130108,裕东街道,13,01,08,007000
130108,裕翔街道,13,01,08,008000
130108,建华南街道,13,01,08,009000
130108,方村镇,13,01,08,101000
130109,廉州镇,13,01,09,100000
130109,兴安镇,13,01,09,101000
130109,贾市庄镇,13,01,09,102000
130109,南营镇,13,01,09,103000
130109,梅花镇,13,01,09,104000
130109,岗上镇,13,01,09,105000
130109,南董镇,13,01,09,107000
130109,张家庄镇,13,01,09,108000
130109,南孟镇,13,01,09,109000
130109,增村镇,13,01,09,110000
130109,常安镇,13,01,09,111000
130109,西关镇,13,01,09,112000
130109,九门回族乡,13,01,09,200000
130109,石家庄经济技术开发区,13,01,09,500000
130110,获鹿镇,13,01,10,100000
130110,铜冶镇,13,01,10,101000
130110,寺家庄镇,13,01,10,102000
130110,上庄镇,13,01,10,103000
130110,李村镇,13,01,10,104000
130110,宜安镇,13,01,10,105000
130110,黄壁庄镇,13,01,10,106000
130110,大河镇,13,01,10,107000
130110,山尹村镇,13,01,10,108000
130110,石井乡,13,01,10,200000
130110,白鹿泉乡,13,01,10,201000
130110,上寨乡,13,01,10,202000
130110,河北鹿泉经济开发区,13,01,10,500000
130111,栾城镇,13,01,11,100000
130111,冶河镇,13,01,11,103000
